"","GSM1200294","GSM1200295","GSM1200296","GSM1200297","GSM1200298","GSM1200299","GSM1200300","GSM1200301","GSM1200302","GSM1200303","GSM1200304","GSM1200305","GSM1200306","GSM1200307","GSM1200308","GSM1200309","GSM1200310","GSM1200311","GSM1200312","GSM1200313"
"TBC1D2",9.109134,8.604730583,7.952967555,8.096548888,7.884195157,8.563788366,8.525356758,9.17451349,8.816471923,8.496815551,8.099249498,8.351770552,8.466558172,8.370424501,8.636744125,8.247242943,8.19775975,8.197396785,8.314890046,8.060209929
"TBC1D22A",7.647533554,7.869229148,7.571088342,7.548980562,7.812179531,7.794862414,7.84833172,8.231694141,8.023771147,8.22506854,7.096542282,7.922878768,7.261771679,7.498620698,7.493303467,7.103015409,6.903282269,7.089717363,7.362147114,7.229904071
"TBC1D22B",7.128801271,6.798843835,7.180487017,7.309138517,7.027580095,6.236853932,6.707254397,6.550158158,6.506883617,6.314801633,6.705240178,6.840192484,6.849213944,6.87245673,6.533416822,6.266610838,6.085957509,7.058871235,6.928857157,6.941614708
"TBC1D23",9.442342052,9.255817087,8.677015036,8.711749448,8.804683375,9.108796479,8.741579819,9.101140285,9.063834243,9.243610667,8.069509673,8.36747423,8.556901861,8.524609087,8.571845397,8.457232458,8.62428925,8.520732708,8.113644111,8.200533378
"TBC1D24",7.3449870735,7.0087986955,7.02429918,6.874219493,6.898772429,6.4858185045,6.3609619475,6.497031897,6.5853393295,6.45390075,6.604917929,6.7831343695,6.317407985,6.2055012315,6.284018954,6.284539083,6.384893726,6.316777615,6.5550216765,6.5526933325
"TBC1D26",6.215636005,6.279440168,6.259188724,6.158373761,6.184945769,5.746273524,5.761802402,5.687927221,5.521025618,5.653459126,6.359842084,5.588403724,5.790686038,5.429040616,5.981514867,5.751433988,6.499106248,6.245387424,6.277275354,6.36843752
"TBC1D28",6.215636005,6.279440168,6.259188724,6.158373761,6.184945769,5.746273524,5.761802402,5.687927221,5.521025618,5.653459126,6.359842084,5.588403724,5.790686038,5.429040616,5.981514867,5.751433988,6.499106248,6.245387424,6.277275354,6.36843752
"TBC1D2B",9.62090007,9.855966682,9.601562521,9.693625643,9.790233912,9.614670494,9.742912033,9.900583414,9.787550363,9.841760252,8.76939419,9.176749548,9.325628118,9.094309569,9.18293374,8.948087575,8.785076485,9.164097537,9.067689664,8.897939532
"TBC1D31",7.810177526,8.110630598,7.877727162,7.889722908,7.846726611,8.756364988,8.049878669,8.267789472,8.16536509,8.699368063,7.800268431,7.960563672,7.287699999,7.574790418,7.734795108,7.749044481,7.943470535,7.522927445,7.099904197,7.894235579
"TBC1D32",4.94004993,4.535014332,4.221342913,4.457325695,4.646617036,4.373878503,3.777336568,3.58839472,3.946559878,3.714206336,4.3081366,4.186050263,4.233114101,3.997697978,4.323106647,3.948749802,4.145055818,3.96958671,3.580958201,4.062197807
